student_id,name,email,department,dept_code,year,semester,archetype_id,cgpa,sgpa_current,attendance_pct,backlog_count,programming_score,dsa_score,aptitude_score,logical_score,verbal_score,communication_score,core_ece_score,core_mech_score,projects_count,projects_avg_completion,internships_count,internships_tasks_completed,certifications_count,training_hours_total,online_problems_attempted,online_problems_solved,online_easy_solved,online_medium_solved,online_hard_solved,online_coding_accuracy,online_contest_rating,online_contests_count,online_coding_streak,software_skill_gaps,core_ece_skill_gaps,readiness_composite_score,is_placement_ready,c_completion,c_score,c++_completion,c++_score,java_completion,java_score,python_completion,python_score,javascript_completion,javascript_score,sql_completion,sql_score
SP2026AID0001,Aditi Singh,aditi.singh1@skillpilot.edu,Artificial Intelligence & Data Science (AI & DS),AIDS,3,6,0,8.9,9.06,95.4,0,50.9,44.0,75.9,60.3,67.9,69.3,25.0,28.0,1,75.2,0,0,3,67,52,44,18,19,7,84.6,1539,7,6,8,0,58.2,0,29.3,55.6,51.8,54.2,54.1,50.4,58.5,48.2,45.3,55.0,47.6,56.1
SP2026CSE0002,Harsh Kumar,harsh.kumar2@skillpilot.edu,Computer Science and Engineering (CSE),CSE,3,6,6,8.96,8.67,90.0,0,99.8,87.1,87.3,92.1,91.7,90.5,38.2,18.3,4,98.4,1,4,3,151,301,256,112,95,49,85.0,2051,23,21,0,0,92.0,1,82.3,92.3,100.0,100.0,92.4,93.8,100.0,99.4,100.0,89.8,95.3,87.5
SP2026AIM0003,Akash Reddy,akash.reddy3@skillpilot.edu,Artificial Intelligence & Machine Learning (AI/ML),AIML,3,6,6,9.01,9.06,85.7,0,95.3,97.6,92.5,93.0,92.1,91.8,42.1,30.0,3,99.5,2,4,5,158,253,225,111,97,17,88.9,2068,20,10,0,0,93.3,1,83.4,75.9,100.0,100.0,100.0,95.7,94.1,88.8,83.0,100.0,98.5,78.7
SP2026CSE0004,Tanvi Patel,tanvi.patel4@skillpilot.edu,Computer Science and Engineering (CSE),CSE,3,6,5,8.53,8.46,78.0,0,89.2,78.5,84.7,81.7,83.8,83.4,36.8,22.5,3,93.8,0,0,4,80,191,171,84,63,24,89.5,1931,18,5,1,0,81.0,1,82.2,73.9,87.9,88.7,92.2,93.5,89.6,84.6,80.7,78.4,67.5,87.3
SP2026EEE0005,Akash Banerjee,akash.banerjee5@skillpilot.edu,Electrical and Electronics Engineering (EEE),EEE,3,6,3,8.28,8.31,92.1,0,43.4,38.3,79.6,59.0,74.0,72.5,69.3,46.2,1,84.2,0,0,1,66,103,85,36,33,16,82.5,1493,9,0,8,2,56.2,0,52.8,27.6,45.8,34.3,33.2,51.9,53.2,37.8,43.5,23.8,28.7,52.3
SP2026ECE0006,Akash Verma,akash.verma6@skillpilot.edu,Electronics and Communication Engineering (ECE),ECE,4,8,0,9.31,9.34,96.5,0,36.4,31.4,90.4,68.0,72.1,73.7,79.0,29.9,2,78.7,0,0,3,60,104,90,41,37,12,86.5,1469,7,12,9,1,61.7,0,85.9,71.2,80.2,78.9,14.9,30.2,29.1,16.0,23.6,13.8,19.9,21.3
SP2026IT0007,Varun Sharma,varun.sharma7@skillpilot.edu,Information Technology (IT),IT,4,8,7,6.19,6.34,69.4,0,60.1,43.9,58.3,56.0,48.9,53.2,26.6,24.8,2,61.1,1,2,3,56,71,63,29,26,8,88.7,1573,8,1,7,0,58.8,0,68.1,59.3,52.8,52.6,56.7,59.8,57.8,52.7,47.8,67.7,69.1,36.5
SP2026ECE0008,Pooja Menon,pooja.menon8@skillpilot.edu,Electronics and Communication Engineering (ECE),ECE,4,8,7,6.33,6.72,70.0,0,59.6,35.5,65.7,51.3,59.4,52.8,76.7,42.3,1,81.5,0,0,1,69,85,72,37,31,4,84.7,1481,11,3,7,1,49.7,0,73.8,72.6,67.9,79.5,46.9,52.5,58.4,64.2,46.2,35.6,65.3,43.8
SP2026CSE0009,Elena Bhat,elena.bhat9@skillpilot.edu,Computer Science and Engineering (CSE),CSE,4,7,3,9.18,9.13,81.6,0,73.7,49.0,72.0,61.5,67.3,73.7,38.0,29.8,2,75.6,0,0,3,59,142,116,58,44,14,81.7,1657,14,9,5,0,67.0,0,55.5,72.0,70.6,76.2,66.9,73.7,71.1,77.4,59.4,56.1,76.2,70.0
SP2026ECE0010,Tarun Chopra,tarun.chopra10@skillpilot.edu,Electronics and Communication Engineering (ECE),ECE,3,6,2,8.06,8.01,85.4,0,61.7,74.0,92.7,86.3,46.8,43.2,59.0,25.9,3,74.4,1,3,2,55,159,140,70,61,9,88.1,1875,15,28,4,3,76.1,1,52.9,62.2,61.5,57.5,56.2,68.8,40.9,41.3,52.9,55.3,56.2,47.8
SP2026ECE0011,Tarun Bhat,tarun.bhat11@skillpilot.edu,Electronics and Communication Engineering (ECE),ECE,4,8,6,9.07,9.26,87.9,0,87.7,90.3,91.5,88.7,85.7,88.1,62.4,26.5,3,91.5,2,4,5,113,381,342,157,138,47,89.8,2073,20,27,1,3,91.8,1,59.4,65.2,69.4,54.7,93.5,82.9,79.4,95.7,73.2,76.4,93.9,92.0
SP2026ECE0012,Harsh Chopra,harsh.chopra12@skillpilot.edu,Electronics and Communication Engineering (ECE),ECE,3,5,3,7.84,7.63,84.7,0,58.0,40.8,73.8,56.4,72.1,75.9,94.7,36.8,1,61.3,1,3,1,69,77,66,33,25,8,85.7,1571,11,4,7,0,62.6,0,99.7,93.3,98.2,87.4,66.3,40.8,35.4,66.5,34.4,34.0,41.6,62.3
SP2026AIM0013,Arjun Sen,arjun.sen13@skillpilot.edu,Artificial Intelligence & Machine Learning (AI/ML),AIML,3,5,5,8.27,8.29,78.0,0,86.8,78.4,73.3,74.3,87.7,81.7,27.8,28.5,5,97.5,0,0,3,118,261,199,97,72,30,76.2,1955,16,23,2,0,83.0,1,80.4,84.9,78.0,87.8,77.0,84.6,85.6,84.8,74.4,93.0,77.8,67.1
SP2026AID0014,Marcus Menon,marcus.menon14@skillpilot.edu,Artificial Intelligence & Data Science (AI & DS),AIDS,4,7,3,8.82,8.7,83.8,0,71.8,62.0,71.3,65.8,79.8,78.8,36.7,21.7,2,68.5,1,4,1,73,108,81,33,34,14,75.0,1712,12,11,4,0,74.2,1,63.5,71.7,69.9,64.1,67.1,69.5,66.2,73.1,59.7,66.2,58.9,81.7
